Date,Close,Open,High,Low,Volume,Change,Symbol
2019-01-02,157.92,156.16,159.92,153.82,1290000.0,0.0029,AAP
2019-01-03,162.85,158.23,164.07,157.74,1510000.0,0.031200000000000002,AAP
2019-01-04,158.81,164.17,164.5,158.48,1420000.0,-0.0248,AAP
2019-01-07,161.14,161.68,163.57,156.83,2089999.9999999998,0.0147,AAP
2019-01-08,160.02,162.01,162.95,157.18,1600000.0,-0.006999999999999999,AAP
2019-01-09,164.43,162.68,165.79,161.23,1430000.0,0.0276,AAP
2019-01-10,165.07,163.03,165.23,160.76,999050.0,0.0039000000000000003,AAP
2019-01-11,159.42,164.51,166.43,159.25,1300000.0,-0.0342,AAP
2019-01-14,158.72,157.79,159.49,156.69,1310000.0,-0.0044,AAP
2019-01-15,160.28,158.62,162.32,158.03,1020000.0,0.0098,AAP
2019-01-16,162.44,160.89,162.46,159.03,1160000.0,0.013500000000000002,AAP
2019-01-17,166.28,161.99,167.42,161.5,1460000.0,0.0236,AAP
2019-01-18,167.61,167.23,168.78,163.66,1780000.0,0.008,AAP
2019-01-22,164.13,166.67,168.42,162.26,1380000.0,-0.0208,AAP
2019-01-23,164.33,164.04,166.6,162.16,1210000.0,0.0012,AAP
2019-01-24,156.31,164.5,164.97,155.64,1300000.0,-0.048799999999999996,AAP
2019-01-25,153.22,156.83,156.83,150.24,1800000.0,-0.019799999999999998,AAP
2019-01-28,154.86,151.65,155.05,150.05,1310000.0,0.010700000000000001,AAP
2019-01-29,155.39,154.15,155.45,151.75,1080000.0,0.0034000000000000002,AAP
2019-01-30,159.04,156.19,160.2,155.6,1020000.0,0.0235,AAP
2019-01-31,159.2,158.4,160.11,155.78,1590000.0,0.001,AAP
2019-02-01,159.04,159.9,161.68,158.53,941550.0,-0.001,AAP
2019-02-04,161.35,159.63,161.62,157.76,665610.0,0.014499999999999999,AAP
2019-02-05,161.46,162.39,162.98,159.63,932570.0,0.0007000000000000001,AAP
2019-02-06,157.22,161.38,161.8,156.7,1210000.0,-0.0263,AAP
2019-02-07,163.13,160.0,163.26,158.0,1380000.0,0.037599999999999995,AAP
2019-02-08,162.41,161.99,163.61,161.12,740700.0,-0.0044,AAP
2019-02-11,165.13,162.44,165.35,162.44,917480.0,0.0167,AAP
2019-02-12,167.89,165.87,168.54,165.48,1260000.0,0.0167,AAP
2019-02-13,166.46,168.68,169.58,165.63,1100000.0,-0.0085,AAP
2019-02-14,168.74,165.92,169.75,164.25,720010.0,0.0137,AAP
2019-02-15,169.99,169.83,170.83,167.67,1380000.0,0.0074,AAP
2019-02-19,167.14,169.93,178.69,166.42,3370000.0,-0.0168,AAP
2019-02-20,166.0,166.0,167.03,162.59,1990000.0,-0.0068000000000000005,AAP
2019-02-21,161.31,166.21,166.21,160.19,1620000.0,-0.028300000000000002,AAP
2019-02-22,161.47,161.31,161.88,158.91,1160000.0,0.001,AAP
2019-02-25,157.71,162.63,163.32,156.12,1790000.0,-0.0233,AAP
2019-02-26,162.92,163.0,165.83,161.48,2110000.0,0.033,AAP
2019-02-27,158.3,162.59,162.78,156.68,1150000.0,-0.028399999999999998,AAP
2019-02-28,161.78,156.72,163.77,156.72,1720000.0,0.022000000000000002,AAP
2019-03-01,160.62,162.25,163.25,158.05,1400000.0,-0.0072,AAP
2019-03-04,158.4,161.92,161.92,156.92,1150000.0,-0.0138,AAP
2019-03-05,157.31,158.51,159.82,157.27,863080.0,-0.0069,AAP
2019-03-06,157.97,157.82,159.13,156.42,1070000.0,0.0042,AAP
2019-03-07,154.13,157.09,157.31,154.01,940700.0,-0.024300000000000002,AAP
2019-03-08,151.77,152.85,153.19,150.5,1140000.0,-0.015300000000000001,AAP
2019-03-11,155.46,152.26,155.78,152.08,1050000.0,0.024300000000000002,AAP
2019-03-12,154.87,155.62,155.62,152.9,871980.0,-0.0038,AAP
2019-03-13,154.7,155.25,155.8,153.78,812390.0,-0.0011,AAP
2019-03-14,154.0,155.06,155.2,153.04,683410.0,-0.0045000000000000005,AAP
2019-03-15,154.84,153.64,154.99,151.04,1710000.0,0.0055000000000000005,AAP
2019-03-18,161.57,155.22,162.95,155.08,2120000.0,0.0435,AAP
2019-03-19,163.42,161.44,164.93,161.17,1370000.0,0.0115,AAP
2019-03-20,164.15,164.51,165.62,162.59,875230.0,0.0045000000000000005,AAP
2019-03-21,169.07,163.83,169.17,163.83,864660.0,0.03,AAP
2019-03-22,164.84,168.33,168.58,164.72,941630.0,-0.025,AAP
2019-03-25,167.78,165.5,168.94,164.29,841100.0,0.0178,AAP
2019-03-26,168.27,167.85,168.9,165.81,961740.0,0.0029,AAP
2019-03-27,166.89,167.96,169.71,166.7,998930.0,-0.008199999999999999,AAP
