Date,Close,Open,High,Low,Volume,Change,Symbol
2019-01-02,89.23,91.24,91.26,88.42,6910000.0,-0.0321,ABBV
2019-01-03,86.29,88.64,88.8,86.08,7650000.0,-0.0329,ABBV
2019-01-04,89.07,87.75,89.14,86.27,8910000.0,0.0322,ABBV
2019-01-07,90.37,90.07,90.76,89.2,7280000.0,0.0146,ABBV
2019-01-08,90.79,91.2,92.3,90.4,7480000.0,0.0046,ABBV
2019-01-09,87.81,90.88,91.39,87.46,9970000.0,-0.032799999999999996,ABBV
2019-01-10,88.2,87.88,88.88,87.12,6530000.0,0.0044,ABBV
2019-01-11,88.31,87.54,88.31,87.54,5320000.0,0.0012,ABBV
2019-01-14,84.76,86.97,86.97,84.49,6370000.0,-0.04019999999999999,ABBV
2019-01-15,85.5,84.93,85.68,84.45,7300000.0,0.0087,ABBV
2019-01-16,85.55,85.66,86.39,85.45,4930000.0,0.0006,ABBV
2019-01-17,87.2,85.54,87.69,85.42,6440000.0,0.019299999999999998,ABBV
2019-01-18,89.5,88.45,89.79,86.92,6190000.0,0.0264,ABBV
2019-01-22,88.66,88.86,89.36,87.9,5660000.0,-0.009399999999999999,ABBV
2019-01-23,88.45,88.84,89.28,87.7,4970000.0,-0.0024,ABBV
2019-01-24,85.88,88.33,88.44,85.1,8369999.999999999,-0.0291,ABBV
2019-01-25,80.54,82.51,82.61,79.43,21350000.0,-0.0622,ABBV
2019-01-28,77.14,80.0,80.1,76.68,14720000.0,-0.042199999999999994,ABBV
2019-01-29,77.47,77.03,78.16,75.77,13910000.0,0.0043,ABBV
2019-01-30,79.06,77.69,79.19,76.98,9280000.0,0.020499999999999997,ABBV
2019-01-31,80.29,78.95,81.31,78.71,11560000.0,0.015600000000000001,ABBV
2019-02-01,80.5,80.25,80.73,79.11,6760000.0,0.0026,ABBV
2019-02-04,78.53,80.3,80.36,77.52,10210000.0,-0.0245,ABBV
2019-02-05,79.69,78.56,80.06,78.22,7970000.0,0.0148,ABBV
2019-02-06,79.08,79.6,79.89,78.79,4910000.0,-0.0077,ABBV
2019-02-07,79.17,78.35,79.22,77.81,5880000.0,0.0011,ABBV
2019-02-08,79.67,79.03,79.86,78.89,4600000.0,0.0063,ABBV
2019-02-11,79.77,79.89,80.18,79.17,4800000.0,0.0013,ABBV
2019-02-12,79.93,79.99,80.12,78.57,6620000.0,0.002,ABBV
2019-02-13,80.79,80.34,81.32,80.29,4240000.0,0.0108,ABBV
2019-02-14,80.52,80.45,80.68,79.72,3440000.0,-0.0033,ABBV
2019-02-15,80.85,81.13,81.7,80.16,6300000.0,0.0040999999999999995,ABBV
2019-02-19,80.52,80.5,81.52,80.23,5670000.0,-0.0040999999999999995,ABBV
2019-02-20,79.99,80.53,80.6,79.14,5560000.0,-0.0066,ABBV
2019-02-21,78.75,79.74,79.91,78.1,6360000.0,-0.0155,ABBV
2019-02-22,80.02,79.16,80.19,78.24,5020000.0,0.0161,ABBV
2019-02-25,80.29,80.46,80.62,79.88,5510000.0,0.0034000000000000002,ABBV
2019-02-26,80.51,80.2,80.86,80.02,4280000.0,0.0027,ABBV
2019-02-27,79.41,80.14,80.14,78.8,4179999.9999999995,-0.0137,ABBV
2019-02-28,79.24,79.46,79.71,78.75,6310000.0,-0.0021,ABBV
2019-03-01,80.1,79.77,80.85,79.28,8570000.0,0.0109,ABBV
2019-03-04,79.46,80.4,80.73,79.11,5870000.0,-0.008,ABBV
2019-03-05,78.91,79.38,79.9,78.72,5930000.0,-0.0069,ABBV
2019-03-06,78.09,79.13,79.13,77.56,5290000.0,-0.0104,ABBV
2019-03-07,78.24,77.77,79.12,77.44,6640000.0,0.0019,ABBV
2019-03-08,77.58,77.67,78.04,77.09,6190000.0,-0.0084,ABBV
2019-03-11,78.08,77.57,78.31,77.27,8080000.0,0.0064,ABBV
2019-03-12,78.74,78.48,79.14,78.05,6130000.0,0.0085,ABBV
2019-03-13,78.93,78.92,79.3,78.15,5980000.0,0.0024,ABBV
2019-03-14,79.95,79.0,80.4,78.41,6160000.0,0.0129,ABBV
2019-03-15,81.34,80.06,81.46,79.11,12750000.0,0.0174,ABBV
2019-03-18,80.65,81.34,81.75,80.28,5550000.0,-0.0085,ABBV
2019-03-19,80.82,80.33,81.29,79.51,6340000.0,0.0021,ABBV
2019-03-20,80.43,80.72,80.91,80.06,5360000.0,-0.0048,ABBV
2019-03-21,81.24,79.88,81.31,79.26,5160000.0,0.0101,ABBV
2019-03-22,79.76,80.78,81.99,79.69,4990000.0,-0.0182,ABBV
2019-03-25,79.51,79.5,80.04,78.41,4010000.0,-0.0031,ABBV
2019-03-26,80.76,79.85,81.19,79.8,4920000.0,0.015700000000000002,ABBV
2019-03-27,79.89,81.0,81.0,79.8,4010000.0,-0.0108,ABBV
2019-03-28,79.96,80.33,80.49,79.5,3080000.0,0.0009,ABBV
2019-03-29,80.59,80.08,80.9,79.96,7110000.0,0.0079,ABBV
2019-04-01,80.78,80.98,81.11,79.97,4760000.0,0.0024,ABBV
2019-04-02,83.07,80.89,83.49,80.8,6360000.0,0.028300000000000002,ABBV
2019-04-03,83.08,83.62,84.73,82.79,6080000.0,0.0001,ABBV
2019-04-04,82.81,83.04,83.38,82.06,4830000.0,-0.0032,ABBV
2019-04-05,83.45,82.82,84.18,82.67,4000000.0,0.0077,ABBV
2019-04-08,83.98,83.7,84.0,82.78,3500000.0,0.0064,ABBV
2019-04-09,82.69,83.77,83.78,82.5,3710000.0,-0.0154,ABBV
2019-04-10,82.95,83.2,83.38,82.6,3640000.0,0.0031,ABBV
2019-04-11,81.77,83.2,83.25,81.23,9090000.0,-0.014199999999999999,ABBV
2019-04-12,80.78,80.67,81.81,79.84,5010000.0,-0.0121,ABBV
2019-04-15,81.03,80.96,81.5,80.37,3500000.0,0.0031,ABBV
2019-04-16,80.21,81.11,81.3,80.02,3620000.0,-0.0101,ABBV
2019-04-17,77.98,80.1,80.2,77.55,6820000.0,-0.0278,ABBV
2019-04-18,77.57,78.06,78.21,76.81,7790000.0,-0.0053,ABBV
2019-04-22,78.15,77.6,79.1,77.5,5360000.0,0.0075,ABBV
2019-04-23,78.66,78.15,79.66,77.75,9920000.0,0.006500000000000001,ABBV
2019-04-24,78.67,79.23,79.59,78.44,7060000.0,0.0001,ABBV
2019-04-25,79.34,80.05,80.47,76.91,10440000.0,0.0085,ABBV
2019-04-26,79.7,79.67,80.65,79.4,5790000.0,0.0045000000000000005,ABBV
2019-04-29,80.3,80.46,80.98,79.91,6440000.0,0.0075,ABBV
2019-04-30,79.39,80.68,80.69,78.68,9370000.0,-0.0113,ABBV
2019-05-01,78.89,79.6,79.68,78.61,5230000.0,-0.0063,ABBV
2019-05-02,78.47,78.73,78.78,77.6,5210000.0,-0.0053,ABBV
2019-05-03,78.71,78.72,78.8,78.25,4530000.0,0.0031,ABBV
2019-05-06,79.26,77.75,79.52,77.34,5410000.0,0.006999999999999999,ABBV
2019-05-07,77.95,78.6,78.99,77.17,4280000.0,-0.0165,ABBV
2019-05-08,77.99,77.95,78.89,77.32,3820000.0,0.0005,ABBV
2019-05-09,77.91,77.51,78.13,76.73,3790000.0,-0.001,ABBV
2019-05-10,77.45,77.45,77.73,75.62,4730000.0,-0.0059,ABBV
2019-05-13,76.87,76.3,77.3,76.17,3860000.0,-0.0075,ABBV
2019-05-14,78.44,77.16,79.36,77.0,6370000.0,0.0204,ABBV
2019-05-15,78.78,78.51,79.15,77.48,4800000.0,0.0043,ABBV
2019-05-16,79.5,78.98,80.75,78.71,5400000.0,0.0091,ABBV
2019-05-17,79.46,78.53,80.08,78.02,4760000.0,-0.0005,ABBV
