Date,Close,Open,High,Low,Volume,Change,Symbol
2019-01-02,309.96,315.94,320.71,307.03,590090.0,-0.0464,ABMD
2019-01-03,302.29,307.25,311.74,293.66,665350.0,-0.024700000000000003,ABMD
2019-01-04,313.44,305.31,321.48,304.98,624310.0,0.0369,ABMD
2019-01-07,314.8,313.5,315.5,305.56,710610.0,0.0043,ABMD
2019-01-08,318.42,318.45,323.1,312.22,570860.0,0.0115,ABMD
2019-01-09,336.4,324.74,342.97,322.1,623970.0,0.0565,ABMD
2019-01-10,335.13,334.1,340.87,322.77,531140.0,-0.0038,ABMD
2019-01-11,323.8,332.77,334.2,320.52,545060.0,-0.0338,ABMD
2019-01-14,315.25,321.9,322.0,314.06,343560.0,-0.0264,ABMD
2019-01-15,325.61,316.62,327.57,316.62,358240.0,0.0329,ABMD
2019-01-16,324.13,326.06,332.93,323.29,476910.0,-0.0045000000000000005,ABMD
2019-01-17,330.32,324.06,332.94,324.06,305590.0,0.0191,ABMD
2019-01-18,333.74,335.2,337.16,326.5,459830.0,0.0104,ABMD
2019-01-22,336.13,333.55,339.67,330.85,669120.0,0.0072,ABMD
2019-01-23,336.98,339.14,344.97,332.75,376090.0,0.0025,ABMD
2019-01-24,348.5,337.5,349.34,334.95,734220.0,0.0342,ABMD
2019-01-25,349.37,349.99,353.92,346.46,415140.0,0.0025,ABMD
2019-01-28,336.9,348.9,350.0,333.76,388760.0,-0.035699999999999996,ABMD
2019-01-29,330.38,338.38,339.55,326.48,374340.0,-0.0194,ABMD
2019-01-30,339.59,331.11,339.91,327.38,414170.0,0.0279,ABMD
2019-01-31,351.07,359.54,362.67,342.35,1070000.0,0.0338,ABMD
2019-02-01,351.08,348.79,351.45,340.92,496620.0,0.0,ABMD
2019-02-04,330.41,349.18,352.44,316.38,1680000.0,-0.058899999999999994,ABMD
2019-02-05,344.28,334.16,350.49,334.0,764730.0,0.042,ABMD
2019-02-06,344.78,345.25,350.0,340.01,435180.0,0.0015,ABMD
2019-02-07,341.61,340.26,344.02,335.52,300580.0,-0.0092,ABMD
2019-02-08,341.21,338.53,341.52,336.94,307540.0,-0.0012,ABMD
2019-02-11,354.92,343.52,356.3,342.55,526020.0,0.04019999999999999,ABMD
2019-02-12,358.08,359.48,361.76,353.85,370320.0,0.0089,ABMD
2019-02-13,361.5,357.74,364.15,353.37,300080.0,0.0096,ABMD
2019-02-14,357.82,357.61,361.02,353.95,254470.0,-0.0102,ABMD
2019-02-15,362.06,360.0,362.33,357.1,316490.0,0.0118,ABMD
2019-02-19,359.37,361.77,364.31,358.06,308180.0,-0.0074,ABMD
2019-02-20,362.25,360.57,362.29,355.26,368840.0,0.008,ABMD
2019-02-21,358.36,362.02,362.02,356.67,315780.0,-0.010700000000000001,ABMD
2019-02-22,352.6,359.47,360.88,351.77,422930.0,-0.0161,ABMD
2019-02-25,352.89,354.28,357.0,346.17,368910.0,0.0008,ABMD
2019-02-26,342.87,350.72,352.0,337.63,587240.0,-0.028399999999999998,ABMD
2019-02-27,336.17,339.17,345.0,334.53,445940.0,-0.0195,ABMD
2019-02-28,334.5,336.43,339.75,332.42,420610.0,-0.005,ABMD
2019-03-01,348.06,337.2,351.58,336.95,375290.0,0.0405,ABMD
2019-03-04,338.2,348.22,352.87,332.53,376130.0,-0.028300000000000002,ABMD
2019-03-05,333.21,337.48,337.48,332.4,359720.0,-0.0148,ABMD
2019-03-06,317.85,334.23,336.18,317.43,707610.0,-0.0461,ABMD
2019-03-07,317.42,317.85,320.39,311.4,437070.0,-0.0014000000000000002,ABMD
2019-03-08,314.21,314.0,314.93,305.37,400090.0,-0.0101,ABMD
2019-03-11,319.2,313.13,320.6,310.98,248960.0,0.0159,ABMD
2019-03-12,323.76,319.64,324.24,318.33,248360.0,0.0143,ABMD
2019-03-13,325.63,323.43,329.54,322.24,249370.0,0.0058,ABMD
2019-03-14,325.61,325.39,326.77,322.44,227760.0,-0.0001,ABMD
2019-03-15,333.23,326.89,335.02,326.89,562780.0,0.023399999999999997,ABMD
2019-03-18,333.25,334.68,336.0,328.67,465510.0,0.0001,ABMD
2019-03-19,339.36,334.6,339.95,330.99,351810.0,0.0183,ABMD
2019-03-20,339.66,337.9,344.69,337.9,411140.0,0.0009,ABMD
2019-03-21,337.43,337.94,348.27,337.1,529090.0,-0.0066,ABMD
2019-03-22,323.21,334.24,337.39,322.87,406070.0,-0.0421,ABMD
2019-03-25,313.22,321.3,322.14,313.0,762430.0,-0.030899999999999997,ABMD
2019-03-26,286.0,314.88,316.01,284.62,1960000.0,-0.08689999999999999,ABMD
2019-03-27,276.39,286.6,289.06,272.17,1570000.0,-0.0336,ABMD
2019-03-28,283.9,277.75,286.9,275.0,926100.0,0.027200000000000002,ABMD
2019-03-29,285.59,285.14,291.99,284.73,764130.0,0.006,ABMD
2019-04-01,277.76,290.01,293.44,275.36,980840.0,-0.0274,ABMD
2019-04-02,284.2,277.77,284.98,275.53,550080.0,0.0232,ABMD
2019-04-03,284.94,286.86,288.47,283.91,576150.0,0.0026,ABMD
2019-04-04,282.87,284.4,286.91,277.64,691860.0,-0.0073,ABMD
2019-04-05,284.91,282.87,288.09,282.13,549380.0,0.0072,ABMD
2019-04-08,282.95,285.4,286.5,278.21,600520.0,-0.0069,ABMD
2019-04-09,281.65,281.53,284.41,281.19,490000.0,-0.0046,ABMD
2019-04-10,280.54,282.77,282.77,278.24,591190.0,-0.0039000000000000003,ABMD
2019-04-11,271.89,280.18,280.49,270.25,849870.0,-0.0308,ABMD
2019-04-12,270.08,272.14,273.0,267.6,950200.0,-0.0067,ABMD
2019-04-15,272.3,271.45,276.79,270.68,884300.0,0.008199999999999999,ABMD
2019-04-16,265.95,273.95,275.51,264.54,563040.0,-0.0233,ABMD
2019-04-17,251.49,267.58,267.86,250.3,1020000.0,-0.054400000000000004,ABMD
2019-04-18,256.56,252.5,257.07,244.08,1180000.0,0.0202,ABMD
2019-04-22,260.93,255.7,263.79,254.5,764930.0,0.017,ABMD
2019-04-23,262.18,260.81,263.95,256.16,738060.0,0.0048,ABMD
2019-04-24,270.83,260.06,276.77,258.02,1110000.0,0.033,ABMD
2019-04-25,268.13,268.9,278.47,265.0,600160.0,-0.01,ABMD
2019-04-26,274.91,268.4,276.96,268.4,736300.0,0.0253,ABMD
2019-04-29,274.0,275.43,277.0,271.95,805680.0,-0.0033,ABMD
2019-04-30,277.41,273.01,279.2,272.45,826380.0,0.0124,ABMD
2019-05-01,277.07,279.36,281.75,274.31,1340000.0,-0.0012,ABMD
2019-05-02,264.77,232.0,280.0,228.0,4770000.0,-0.0444,ABMD
2019-05-03,271.75,265.5,273.35,265.5,1080000.0,0.0264,ABMD
2019-05-06,268.95,265.82,273.14,263.59,920890.0,-0.0103,ABMD
2019-05-07,261.98,266.43,268.72,256.74,1000000.0,-0.0259,ABMD
2019-05-08,260.27,260.25,263.04,257.02,739950.0,-0.006500000000000001,ABMD
2019-05-09,261.94,257.0,263.5,252.71,713080.0,0.0064,ABMD
2019-05-10,258.92,260.74,260.74,251.09,667040.0,-0.0115,ABMD
