Date,Close,Open,High,Low,Volume,Change,Symbol
2019-01-02,224.57,219.91,226.17,219.0,2780000.0,-0.0074,ADBE
2019-01-03,215.7,220.88,223.63,215.15,3660000.0,-0.0395,ADBE
2019-01-04,226.19,219.84,227.65,217.48,4040000.0,0.048600000000000004,ADBE
2019-01-07,229.26,229.95,232.6,227.29,3640000.0,0.013600000000000001,ADBE
2019-01-08,232.68,232.65,233.77,228.33,3690000.0,0.0149,ADBE
2019-01-09,235.43,234.01,238.59,232.0,3590000.0,0.0118,ADBE
2019-01-10,237.77,233.77,238.04,231.71,2700000.0,0.009899999999999999,ADBE
2019-01-11,237.55,235.71,239.32,235.23,3180000.0,-0.0009,ADBE
2019-01-14,234.56,235.33,236.25,231.96,2610000.0,-0.0126,ADBE
2019-01-15,242.36,237.9,243.93,237.26,3660000.0,0.0333,ADBE
2019-01-16,241.95,243.6,244.0,239.68,2890000.0,-0.0017000000000000001,ADBE
2019-01-17,244.4,240.13,245.04,238.78,2840000.0,0.0101,ADBE
2019-01-18,247.51,247.45,250.68,244.45,3710000.0,0.0127,ADBE
2019-01-22,243.85,245.13,245.61,241.19,4160000.0,-0.0148,ADBE
2019-01-23,245.14,244.91,248.16,240.6,2029999.9999999998,0.0053,ADBE
2019-01-24,242.56,245.62,245.98,241.18,3640000.0,-0.0105,ADBE
2019-01-25,244.95,244.99,247.1,243.43,3820000.0,0.009899999999999999,ADBE
2019-01-28,241.85,241.0,243.22,239.35,2110000.0,-0.0127,ADBE
2019-01-29,238.27,241.81,242.87,237.27,1940000.0,-0.0148,ADBE
2019-01-30,242.67,240.16,243.0,238.87,2480000.0,0.018500000000000003,ADBE
2019-01-31,247.82,243.0,249.0,243.0,5010000.0,0.0212,ADBE
2019-02-01,247.38,247.82,251.03,246.1,3030000.0,-0.0018,ADBE
2019-02-04,254.74,248.56,256.99,248.06,3710000.0,0.0298,ADBE
2019-02-05,254.82,256.74,258.56,254.01,3040000.0,0.0003,ADBE
2019-02-06,254.35,255.06,255.93,250.71,2540000.0,-0.0018,ADBE
2019-02-07,253.74,251.33,254.31,250.28,2100000.0,-0.0024,ADBE
2019-02-08,257.0,251.39,257.05,250.64,2760000.0,0.0128,ADBE
2019-02-11,258.39,258.89,259.9,256.19,3540000.0,0.0054,ADBE
2019-02-12,261.37,260.15,262.25,258.67,2520000.0,0.0115,ADBE
2019-02-13,260.23,263.13,263.36,259.37,1900000.0,-0.0044,ADBE
2019-02-14,260.14,259.4,261.71,258.01,1880000.0,-0.0003,ADBE
2019-02-15,259.45,260.34,260.97,258.07,3000000.0,-0.0027,ADBE
2019-02-19,257.81,258.98,260.06,256.45,3480000.0,-0.0063,ADBE
2019-02-20,258.1,258.13,260.99,255.92,2480000.0,0.0011,ADBE
2019-02-21,257.76,257.3,259.35,255.12,2610000.0,-0.0013,ADBE
2019-02-22,258.9,257.61,260.24,257.61,2009999.9999999998,0.0044,ADBE
2019-02-25,258.62,261.5,262.98,258.18,1820000.0,-0.0011,ADBE
2019-02-26,261.22,258.0,262.58,256.37,2540000.0,0.0101,ADBE
2019-02-27,262.9,259.77,263.08,256.52,2270000.0,0.0064,ADBE
2019-02-28,262.5,262.4,266.24,261.76,3810000.0,-0.0015,ADBE
2019-03-01,264.01,265.75,266.24,261.5,2590000.0,0.0058,ADBE
2019-03-04,258.16,266.7,267.0,254.08,3000000.0,-0.0222,ADBE
2019-03-05,257.38,259.0,259.87,256.37,2100000.0,-0.003,ADBE
2019-03-06,256.4,257.4,259.49,253.84,1950000.0,-0.0038,ADBE
2019-03-07,255.46,255.77,257.49,253.29,3190000.0,-0.0037,ADBE
2019-03-08,254.74,251.49,255.02,249.1,2200000.0,-0.0028000000000000004,ADBE
2019-03-11,260.96,255.98,261.46,255.77,2710000.0,0.024399999999999998,ADBE
2019-03-12,263.51,261.86,264.75,259.01,2580000.0,0.0098,ADBE
2019-03-13,264.38,265.5,269.8,264.13,3990000.0,0.0033,ADBE
2019-03-14,267.69,265.26,268.0,263.52,5110000.0,0.0125,ADBE
2019-03-15,257.09,258.03,260.0,252.03,12110000.0,-0.039599999999999996,ADBE
2019-03-18,257.76,257.11,259.96,253.89,4010000.0,0.0026,ADBE
2019-03-19,260.42,259.43,260.64,256.34,4260000.0,0.0103,ADBE
2019-03-20,259.74,260.54,262.3,256.17,3730000.0,-0.0026,ADBE
2019-03-21,264.18,259.0,264.34,258.4,2360000.0,0.0171,ADBE
2019-03-22,259.69,263.47,264.64,259.52,3450000.0,-0.017,ADBE
2019-03-25,262.27,259.21,263.12,257.1,2640000.0,0.009899999999999999,ADBE
2019-03-26,265.59,265.05,267.74,263.84,3150000.0,0.0127,ADBE
2019-03-27,262.34,265.53,265.97,259.04,2520000.0,-0.012199999999999999,ADBE
2019-03-28,263.53,263.5,265.17,260.88,2020000.0,0.0045000000000000005,ADBE
2019-03-29,266.49,265.47,266.75,264.2,2100000.0,0.011200000000000002,ADBE
2019-04-01,272.17,269.85,272.38,268.19,2970000.0,0.0213,ADBE
2019-04-02,271.35,272.89,273.0,267.63,1880000.0,-0.003,ADBE
2019-04-03,271.5,273.71,274.18,270.98,2430000.0,0.0006,ADBE
2019-04-04,267.89,270.98,271.47,263.72,2950000.0,-0.013300000000000001,ADBE
2019-04-05,267.45,269.44,269.94,266.59,1970000.0,-0.0016,ADBE
2019-04-08,268.81,266.96,269.09,264.7,1800000.0,0.0051,ADBE
