Date,Close,Open,High,Low,Volume,Change,Symbol
2019-01-02,14.18,14.27,14.31,14.1,5580000.0,-0.0194,AES
2019-01-03,14.17,14.19,14.37,13.97,7930000.0,-0.0007000000000000001,AES
2019-01-04,14.64,14.21,14.8,14.2,6140000.0,0.0332,AES
2019-01-07,14.71,14.64,14.85,14.54,4920000.0,0.0048,AES
2019-01-08,15.05,14.87,15.09,14.76,4440000.0,0.0231,AES
2019-01-09,15.02,15.05,15.25,14.97,5000000.0,-0.002,AES
2019-01-10,15.34,14.98,15.37,14.92,3950000.0,0.0213,AES
2019-01-11,15.39,15.34,15.43,15.24,3290000.0,0.0033,AES
2019-01-14,15.04,15.25,15.25,14.78,7850000.0,-0.0227,AES
2019-01-15,15.44,15.05,15.47,15.05,4600000.0,0.026600000000000002,AES
2019-01-16,15.51,15.39,15.56,15.32,6020000.0,0.0045000000000000005,AES
2019-01-17,15.49,15.5,15.66,15.42,6410000.0,-0.0013,AES
2019-01-18,15.55,15.46,15.61,15.31,4660000.0,0.0039000000000000003,AES
2019-01-22,15.61,15.57,15.74,15.44,3380000.0,0.0039000000000000003,AES
2019-01-23,15.87,15.65,15.88,15.64,6440000.0,0.0167,AES
2019-01-24,15.9,15.9,15.92,15.73,4710000.0,0.0019,AES
2019-01-25,15.88,15.9,16.09,15.8,4710000.0,-0.0013,AES
2019-01-28,15.87,15.83,15.96,15.74,4600000.0,-0.0006,AES
2019-01-29,16.03,15.95,16.1,15.88,5610000.0,0.0101,AES
2019-01-30,16.29,16.1,16.36,16.04,5810000.0,0.016200000000000003,AES
2019-01-31,16.39,16.16,16.42,15.95,8580000.0,0.0060999999999999995,AES
2019-02-01,16.68,16.4,16.71,16.37,5880000.0,0.0177,AES
2019-02-04,16.83,16.65,16.86,16.37,7060000.0,0.009000000000000001,AES
2019-02-05,16.95,16.82,17.05,16.77,5190000.0,0.0070999999999999995,AES
2019-02-06,16.98,16.9,17.07,16.85,3910000.0,0.0018,AES
2019-02-07,17.11,16.96,17.13,16.86,4120000.0,0.0077,AES
2019-02-08,17.22,17.08,17.23,17.05,3840000.0,0.0064,AES
2019-02-11,17.16,17.25,17.46,17.14,4830000.0,-0.0034999999999999996,AES
2019-02-12,17.18,17.2,17.24,17.07,6210000.0,0.0012,AES
2019-02-13,17.04,17.12,17.2,16.95,4900000.0,-0.008100000000000001,AES
2019-02-14,17.06,17.02,17.22,16.98,4179999.9999999995,0.0012,AES
2019-02-15,16.92,17.17,17.25,16.91,7200000.0,-0.008199999999999999,AES
2019-02-19,17.18,16.9,17.19,16.86,6780000.0,0.0154,AES
2019-02-20,17.15,17.16,17.27,17.07,4650000.0,-0.0017000000000000001,AES
2019-02-21,17.32,17.08,17.34,17.05,4170000.0,0.009899999999999999,AES
2019-02-22,17.53,17.4,17.6,17.31,3320000.0,0.0121,AES
2019-02-25,17.33,17.51,17.59,17.18,5480000.0,-0.011399999999999999,AES
2019-02-26,17.29,17.36,17.36,17.11,5170000.0,-0.0023,AES
2019-02-27,17.16,17.07,17.4,17.01,6030000.0,-0.0075,AES
2019-02-28,17.23,17.26,17.29,16.87,6010000.0,0.0040999999999999995,AES
2019-03-01,17.5,17.29,17.54,17.29,6070000.0,0.015700000000000002,AES
2019-03-04,17.12,17.53,17.6,16.88,9290000.0,-0.0217,AES
2019-03-05,17.42,17.14,17.5,17.06,7570000.0,0.0175,AES
2019-03-06,17.58,17.45,17.7,17.36,8830000.0,0.0092,AES
2019-03-07,17.67,17.72,17.95,17.59,8029999.999999999,0.0051,AES
2019-03-08,17.7,17.69,17.73,17.57,5000000.0,0.0017000000000000001,AES
2019-03-11,17.97,17.76,17.97,17.74,5680000.0,0.015300000000000001,AES
2019-03-12,18.12,18.0,18.14,17.9,4000000.0,0.0083,AES
2019-03-13,18.12,18.17,18.26,18.09,3740000.0,0.0,AES
2019-03-14,18.18,18.16,18.21,18.0,4300000.0,0.0033,AES
2019-03-15,18.31,18.14,18.39,17.94,7850000.0,0.0072,AES
2019-03-18,18.15,18.32,18.36,18.05,6730000.0,-0.0087,AES
2019-03-19,17.84,18.14,18.26,17.73,11350000.0,-0.0171,AES
2019-03-20,17.93,17.88,18.07,17.71,7790000.0,0.005,AES
2019-03-21,18.28,17.99,18.31,17.94,4980000.0,0.0195,AES
2019-03-22,18.06,18.3,18.42,18.05,5220000.0,-0.012,AES
2019-03-25,18.24,18.08,18.35,18.01,5060000.0,0.01,AES
2019-03-26,18.41,18.3,18.41,18.26,5180000.0,0.009300000000000001,AES
2019-03-27,18.25,18.37,18.52,18.12,4920000.0,-0.0087,AES
2019-03-28,18.11,18.27,18.38,18.03,4270000.0,-0.0077,AES
2019-03-29,18.08,18.12,18.2,18.05,7650000.0,-0.0017000000000000001,AES
2019-04-01,17.92,18.13,18.16,17.85,8350000.0,-0.0088,AES
2019-04-02,18.01,17.96,18.07,17.89,9340000.0,0.005,AES
2019-04-03,18.06,18.13,18.3,17.98,9270000.0,0.0028000000000000004,AES
2019-04-04,18.0,18.06,18.06,17.83,4130000.0,-0.0033,AES
2019-04-05,18.27,18.04,18.29,18.01,5310000.0,0.015,AES
2019-04-08,17.99,18.24,18.24,17.91,4110000.0000000005,-0.015300000000000001,AES
2019-04-09,18.11,17.94,18.11,17.93,4410000.0,0.0067,AES
2019-04-10,18.06,18.15,18.27,18.01,3550000.0,-0.0028000000000000004,AES
2019-04-11,18.08,18.04,18.12,17.96,2620000.0,0.0011,AES
