Date,Close,Open,High,Low,Volume,Change,Symbol
2019-01-02,18.83,18.01,19.0,17.98,87150000.0,0.02,AMD
2019-01-03,17.05,18.42,18.68,16.94,117280000.0,-0.09449999999999999,AMD
2019-01-04,19.0,17.55,19.07,17.43,111880000.0,0.1144,AMD
2019-01-07,20.57,19.44,20.68,19.0,107160000.0,0.08259999999999999,AMD
2019-01-08,20.75,21.19,21.2,19.68,121270000.0,0.0088,AMD
2019-01-09,20.19,20.89,21.44,20.07,163940000.0,-0.027000000000000003,AMD
2019-01-10,19.74,19.76,19.83,18.9,115630000.0,-0.0223,AMD
2019-01-11,20.27,19.47,20.35,19.19,85110000.0,0.0268,AMD
2019-01-14,20.23,19.96,20.62,19.75,71350000.0,-0.002,AMD
2019-01-15,20.38,20.44,20.68,20.26,62790000.0,0.0074,AMD
2019-01-16,19.73,20.4,20.54,19.71,70850000.0,-0.0319,AMD
2019-01-17,20.25,19.49,20.51,19.02,85020000.0,0.0264,AMD
2019-01-18,20.77,20.37,21.05,20.02,88130000.0,0.025699999999999997,AMD
2019-01-22,19.76,20.48,20.92,19.7,78510000.0,-0.048600000000000004,AMD
2019-01-23,19.8,20.03,20.48,19.55,77810000.0,0.002,AMD
2019-01-24,20.85,20.06,21.01,20.04,97430000.0,0.053,AMD
2019-01-25,21.93,20.99,22.03,20.79,110560000.0,0.0518,AMD
2019-01-28,20.18,20.32,21.01,20.02,135160000.0,-0.07980000000000001,AMD
2019-01-29,19.25,20.26,20.39,19.05,131199999.99999999,-0.0461,AMD
2019-01-30,23.09,21.49,23.13,21.37,211420000.0,0.19949999999999998,AMD
2019-01-31,24.41,23.02,25.14,22.83,182580000.0,0.0572,AMD
2019-02-01,24.51,24.61,24.84,24.07,105360000.0,0.0040999999999999995,AMD
2019-02-04,24.13,24.43,24.66,24.07,70840000.0,-0.0155,AMD
2019-02-05,23.31,23.42,23.86,22.98,122230000.0,-0.034,AMD
2019-02-06,23.26,23.63,24.14,23.22,78680000.0,-0.0021,AMD
2019-02-07,22.67,22.99,23.22,22.32,86720000.0,-0.0254,AMD
2019-02-08,23.05,22.33,23.28,22.27,78130000.0,0.0168,AMD
2019-02-11,22.96,23.05,23.28,22.66,60580000.0,-0.0039000000000000003,AMD
2019-02-12,22.82,23.43,23.56,22.75,67600000.0,-0.0060999999999999995,AMD
2019-02-13,22.85,22.98,23.24,22.71,57540000.0,0.0013,AMD
2019-02-14,23.13,22.74,23.37,22.59,64440000.0,0.0123,AMD
2019-02-15,23.68,23.58,24.05,23.2,78640000.0,0.023799999999999998,AMD
2019-02-19,23.95,23.62,24.41,23.61,57520000.0,0.011399999999999999,AMD
2019-02-20,23.95,24.14,24.37,23.9,57090000.0,0.0,AMD
2019-02-21,23.92,24.04,24.33,23.85,49610000.0,-0.0013,AMD
2019-02-22,24.36,24.05,24.36,23.88,52650000.0,0.0184,AMD
2019-02-25,24.71,25.01,25.52,24.68,63220000.0,0.0144,AMD
2019-02-26,24.21,24.65,24.72,24.15,48470000.0,-0.0202,AMD
2019-02-27,23.48,24.11,24.23,23.21,62650000.0,-0.0302,AMD
2019-02-28,23.53,23.21,23.67,23.11,39380000.0,0.0021,AMD
2019-03-01,23.68,23.97,24.19,23.45,48080000.0,0.0064,AMD
2019-03-04,23.37,23.89,24.13,23.01,48150000.0,-0.0131,AMD
2019-03-05,23.5,23.34,23.68,23.01,35460000.0,0.005600000000000001,AMD
2019-03-06,22.41,23.47,23.53,22.4,60480000.0,-0.0464,AMD
2019-03-07,22.08,22.33,22.41,21.73,52190000.0,-0.0147,AMD
2019-03-08,22.01,21.35,22.09,21.04,49970000.0,-0.0032,AMD
2019-03-11,22.96,22.15,23.07,21.98,54420000.0,0.0432,AMD
2019-03-12,23.49,23.1,23.8,22.78,56410000.0,0.0231,AMD
2019-03-13,23.38,23.66,24.15,23.35,56710000.0,-0.004699999999999999,AMD
2019-03-14,22.82,23.37,23.49,22.8,42820000.0,-0.024,AMD
2019-03-15,23.29,23.1,23.65,23.01,46520000.0,0.0206,AMD
2019-03-18,23.25,23.3,23.62,23.04,34730000.0,-0.0017000000000000001,AMD
2019-03-19,26.0,23.6,26.08,23.59,156050000.0,0.1183,AMD
2019-03-20,25.7,26.49,26.88,25.31,151290000.0,-0.0115,AMD
2019-03-21,27.89,25.78,28.11,25.71,129610000.00000001,0.0852,AMD
2019-03-22,26.37,27.54,27.75,26.33,115320000.0,-0.0545,AMD
2019-03-25,25.97,26.29,26.99,25.54,78440000.0,-0.0152,AMD
2019-03-26,25.69,26.69,26.98,25.46,75750000.0,-0.0108,AMD
2019-03-27,24.89,25.7,25.88,24.55,88590000.0,-0.0311,AMD
2019-03-28,25.06,25.1,25.56,24.65,64670000.0,0.0068000000000000005,AMD
2019-03-29,25.52,25.58,25.73,25.25,53500000.0,0.0184,AMD
2019-04-01,26.36,26.42,26.55,25.83,63000000.0,0.0329,AMD
2019-04-02,26.75,26.51,26.8,26.09,53360000.0,0.0148,AMD
2019-04-03,29.02,28.02,29.95,27.88,197650000.0,0.0849,AMD
2019-04-04,29.09,28.88,29.39,28.61,82190000.0,0.0024,AMD
2019-04-05,28.98,29.64,29.69,28.8,65660000.0,-0.0038,AMD
2019-04-08,28.53,28.69,28.95,28.18,58000000.0,-0.0155,AMD
2019-04-09,27.24,28.24,28.38,27.19,75540000.0,-0.0452,AMD
2019-04-10,27.83,27.46,28.12,27.32,64370000.00000001,0.0217,AMD
2019-04-11,27.79,27.81,28.05,27.46,44800000.0,-0.0014000000000000002,AMD
2019-04-12,27.85,28.21,28.38,27.66,41050000.0,0.0022,AMD
2019-04-15,27.33,27.8,27.84,26.96,40810000.0,-0.0187,AMD
2019-04-16,27.93,27.72,28.18,27.49,47340000.0,0.022000000000000002,AMD
2019-04-17,27.49,28.21,28.27,27.22,48240000.0,-0.0158,AMD
2019-04-18,27.68,27.6,27.88,27.34,39880000.0,0.0069,AMD
2019-04-22,28.18,27.62,28.23,27.39,36480000.0,0.0181,AMD
2019-04-23,27.97,28.18,28.49,27.79,41780000.0,-0.0075,AMD
2019-04-24,28.46,28.1,28.85,27.93,51780000.0,0.0175,AMD
2019-04-25,27.66,28.67,28.86,27.36,57330000.0,-0.0281,AMD
2019-04-26,27.88,27.66,27.9,27.05,48830000.0,0.008,AMD
2019-04-29,27.69,27.9,28.14,27.5,44530000.0,-0.0068000000000000005,AMD
2019-04-30,27.63,27.59,27.8,26.94,73170000.0,-0.0022,AMD
2019-05-01,26.81,28.95,29.15,26.78,136070000.0,-0.0297,AMD
2019-05-02,28.29,26.94,28.64,26.61,100510000.0,0.0552,AMD
2019-05-03,28.22,28.3,28.42,27.66,55500000.0,-0.0025,AMD
2019-05-06,27.42,26.72,27.5,26.45,70340000.0,-0.028300000000000002,AMD
2019-05-07,26.66,27.2,27.35,26.21,75870000.0,-0.0277,AMD
2019-05-08,27.09,26.41,27.71,26.27,65970000.0,0.0161,AMD
2019-05-09,27.21,26.7,27.38,26.03,73150000.0,0.0044,AMD
2019-05-10,27.96,27.03,28.1,26.93,82930000.0,0.0276,AMD
2019-05-13,26.24,26.98,27.23,26.1,99020000.0,-0.061500000000000006,AMD
2019-05-14,27.32,26.53,27.48,26.15,82980000.0,0.0412,AMD
2019-05-15,27.58,26.87,27.79,26.73,55690000.0,0.0095,AMD
2019-05-16,28.01,27.37,28.37,27.27,67330000.0,0.015600000000000001,AMD
2019-05-17,27.5,27.69,28.46,27.4,65390000.0,-0.0182,AMD
2019-05-20,26.68,26.98,27.24,26.49,69760000.0,-0.0298,AMD
2019-05-21,27.35,27.18,27.37,26.93,46080000.0,0.025099999999999997,AMD
2019-05-22,27.41,27.12,27.59,27.07,40040000.0,0.0022,AMD
2019-05-23,26.36,26.99,27.1,26.03,67810000.0,-0.0383,AMD
2019-05-24,26.44,26.61,26.93,26.4,39840000.0,0.003,AMD
2019-05-28,29.03,27.27,29.67,27.06,146950000.0,0.098,AMD
2019-05-29,28.09,29.0,29.32,27.73,99970000.0,-0.032400000000000005,AMD
2019-05-30,28.03,28.4,28.56,27.6,65290000.00000001,-0.0021,AMD
2019-05-31,27.41,27.57,28.36,27.4,68670000.0,-0.022099999999999998,AMD
2019-06-03,27.58,28.75,29.62,27.29,147530000.0,0.0062,AMD
2019-06-04,29.57,28.39,29.59,27.91,107550000.0,0.0722,AMD
2019-06-05,29.5,29.93,29.99,29.03,79480000.0,-0.0024,AMD
2019-06-06,31.82,29.87,31.98,29.84,131270000.00000001,0.0786,AMD
2019-06-07,32.41,31.94,32.6,31.57,86840000.0,0.018500000000000003,AMD
2019-06-10,33.23,33.53,34.3,33.08,97670000.0,0.0253,AMD
2019-06-11,32.41,33.43,33.49,31.82,82830000.0,-0.024700000000000003,AMD
2019-06-12,32.18,32.0,32.57,31.92,56300000.0,-0.0070999999999999995,AMD
2019-06-13,31.39,32.39,32.5,31.06,63560000.0,-0.0245,AMD
2019-06-14,30.36,30.7,30.96,30.02,70370000.0,-0.032799999999999996,AMD
2019-06-17,29.2,30.25,30.45,29.18,70870000.0,-0.0382,AMD
2019-06-18,30.45,29.76,30.97,29.58,86440000.0,0.042800000000000005,AMD
2019-06-19,30.5,30.66,30.79,30.06,63230000.0,0.0016,AMD
2019-06-20,30.01,31.24,31.36,29.84,72420000.0,-0.0161,AMD
2019-06-21,29.1,29.65,30.35,28.97,81860000.0,-0.030299999999999997,AMD
2019-06-24,29.26,29.32,29.4,28.67,55720000.0,0.0055000000000000005,AMD
2019-06-25,28.86,29.26,29.72,28.8,53680000.0,-0.0137,AMD
2019-06-26,29.92,29.98,30.48,29.78,65060000.0,0.036699999999999997,AMD
2019-06-27,30.74,30.41,30.96,30.21,55620000.0,0.0274,AMD
2019-06-28,30.37,31.08,31.11,30.33,50090000.0,-0.012,AMD
2019-07-01,31.2,31.79,32.04,30.87,60530000.0,0.0273,AMD
2019-07-02,31.24,30.96,31.26,30.73,37720000.0,0.0013,AMD
2019-07-03,31.19,31.13,31.33,30.74,23460000.0,-0.0016,AMD
2019-07-05,31.5,30.88,31.56,30.75,34010000.0,0.009899999999999999,AMD
2019-07-08,32.04,31.8,32.15,31.26,49690000.0,0.0171,AMD
2019-07-09,33.15,31.76,33.18,31.71,61420000.0,0.0346,AMD
2019-07-10,33.79,33.56,34.03,33.36,60390000.0,0.019299999999999998,AMD
2019-07-11,33.06,33.91,34.0,32.76,63080000.0,-0.0216,AMD
2019-07-12,33.21,32.76,33.39,32.59,51510000.0,0.0045000000000000005,AMD
2019-07-15,34.39,33.34,34.55,33.27,65569999.99999999,0.0355,AMD
2019-07-16,33.85,34.3,34.86,33.8,66910000.0,-0.015700000000000002,AMD
2019-07-17,33.6,34.01,34.3,33.49,42560000.0,-0.0074,AMD
2019-07-18,33.0,33.03,33.46,32.42,58610000.0,-0.0179,AMD
2019-07-19,32.51,33.08,33.35,32.45,44620000.0,-0.0148,AMD
2019-07-22,32.85,32.8,33.31,32.73,37780000.0,0.0105,AMD
2019-07-23,33.49,33.17,33.5,32.93,38530000.0,0.0195,AMD
2019-07-24,34.11,33.64,34.36,33.45,41950000.0,0.018500000000000003,AMD
2019-07-25,33.67,34.05,34.25,33.62,36710000.0,-0.0129,AMD
2019-07-26,34.02,34.23,34.77,33.87,43500000.0,0.0104,AMD
2019-07-29,33.48,34.14,34.18,32.98,45920000.0,-0.0159,AMD
2019-07-30,33.87,33.21,33.94,32.94,72200000.0,0.0116,AMD
2019-07-31,30.45,32.08,32.3,30.3,119190000.0,-0.10099999999999999,AMD
2019-08-01,29.86,30.5,31.48,29.1,80880000.0,-0.0194,AMD
2019-08-02,29.44,29.48,29.73,28.94,60410000.0,-0.0141,AMD
2019-08-05,27.99,28.26,28.49,27.65,74330000.0,-0.0493,AMD
2019-08-06,28.86,28.86,29.05,28.2,60580000.0,0.0311,AMD
2019-08-07,29.19,28.47,29.28,28.37,58580000.0,0.011399999999999999,AMD
2019-08-08,33.92,31.53,34.27,31.48,167280000.0,0.162,AMD
2019-08-09,34.19,33.45,35.55,33.08,132479999.99999999,0.008,AMD
2019-08-12,32.43,34.16,34.65,32.08,106940000.0,-0.051500000000000004,AMD
2019-08-13,32.11,32.36,33.14,31.72,102580000.0,-0.009899999999999999,AMD
2019-08-14,30.24,31.0,31.05,29.51,127520000.0,-0.0582,AMD
2019-08-15,29.67,30.63,30.73,29.21,72610000.0,-0.018799999999999997,AMD
2019-08-16,31.18,30.3,31.48,30.21,71590000.0,0.0509,AMD
2019-08-19,31.48,32.0,32.19,31.42,67780000.0,0.0096,AMD
2019-08-20,30.72,30.94,31.3,30.45,48020000.0,-0.0241,AMD
2019-08-21,31.7,31.05,31.74,30.84,41640000.0,0.0319,AMD
2019-08-22,31.9,31.76,31.92,30.98,47740000.0,0.0063,AMD
2019-08-23,29.54,31.3,31.83,29.4,83930000.0,-0.07400000000000001,AMD
2019-08-26,30.28,30.34,30.72,29.94,50860000.0,0.025099999999999997,AMD
2019-08-27,30.2,30.6,30.89,29.6,53350000.0,-0.0026,AMD
2019-08-28,30.78,29.92,31.18,29.7,55900000.0,0.0192,AMD
2019-08-29,31.45,31.47,31.83,31.33,44490000.0,0.0218,AMD
2019-08-30,31.45,31.6,31.86,31.13,40350000.0,0.0,AMD
2019-09-03,30.9,30.83,31.14,30.68,38080000.0,-0.0175,AMD
2019-09-04,30.95,31.32,31.83,30.85,46710000.0,0.0016,AMD
2019-09-05,31.5,31.79,32.05,31.12,57930000.0,0.0178,AMD
2019-09-06,30.56,31.5,31.51,30.48,51670000.0,-0.0298,AMD
2019-09-09,30.5,30.93,31.18,30.24,54410000.0,-0.002,AMD
2019-09-10,30.23,30.22,30.38,29.77,48600000.0,-0.0089,AMD
2019-09-11,29.76,30.38,30.43,29.51,50630000.0,-0.0155,AMD
2019-09-12,30.21,30.08,30.84,29.95,53620000.0,0.0151,AMD
2019-09-13,30.69,30.27,30.85,29.95,47760000.0,0.0159,AMD
2019-09-16,30.83,30.37,31.15,30.26,52250000.0,0.0046,AMD
2019-09-17,30.99,31.07,31.32,30.74,35130000.0,0.0052,AMD
2019-09-18,30.42,30.75,30.89,29.88,47280000.0,-0.0184,AMD
2019-09-19,30.29,30.57,30.96,30.14,41930000.0,-0.0043,AMD
2019-09-20,30.05,30.36,30.47,29.65,83560000.0,-0.0079,AMD
2019-09-23,30.64,30.12,30.8,30.07,45190000.0,0.0196,AMD
2019-09-24,29.52,30.54,30.75,29.29,73220000.0,-0.0366,AMD
2019-09-25,29.54,29.48,29.65,28.55,58690000.0,0.0007000000000000001,AMD
2019-09-26,29.47,29.67,29.77,29.0,41180000.0,-0.0024,AMD
2019-09-27,28.72,29.17,29.77,28.35,54140000.0,-0.0254,AMD
2019-09-30,28.99,28.89,29.05,28.36,40330000.0,0.009399999999999999,AMD
2019-10-01,28.76,29.05,29.54,28.64,37370000.0,-0.0079,AMD
2019-10-02,28.31,28.5,28.85,28.03,44050000.0,-0.015600000000000001,AMD
2019-10-03,28.68,28.28,28.78,27.43,56910000.0,0.0131,AMD
2019-10-04,29.01,28.83,29.06,28.57,34610000.0,0.0115,AMD
2019-10-07,28.93,28.9,29.63,28.84,39750000.0,-0.0028000000000000004,AMD
2019-10-08,28.23,28.55,28.64,27.92,44430000.0,-0.0242,AMD
2019-10-09,28.46,28.8,28.95,28.35,36320000.0,0.008100000000000001,AMD
2019-10-10,28.38,28.52,28.89,28.0,41170000.0,-0.0028000000000000004,AMD
2019-10-11,29.75,28.83,30.2,28.81,66629999.99999999,0.0483,AMD
2019-10-14,30.53,29.71,30.61,29.38,44820000.0,0.0262,AMD
2019-10-15,30.72,30.7,30.92,30.17,42140000.0,0.0062,AMD
2019-10-16,30.81,30.6,31.41,30.53,43060000.0,0.0029,AMD
2019-10-17,31.14,31.3,31.4,30.86,37010000.0,0.010700000000000001,AMD
2019-10-18,30.97,31.06,31.33,30.29,39710000.0,-0.0055000000000000005,AMD
2019-10-21,32.03,31.5,32.26,31.41,52650000.0,0.0342,AMD
2019-10-22,31.51,32.06,32.15,31.5,36860000.0,-0.016200000000000003,AMD
2019-10-23,31.36,31.09,31.65,30.83,26860000.0,-0.0048,AMD
2019-10-24,31.72,31.58,31.86,31.34,28450000.0,0.0115,AMD
2019-10-25,32.71,31.9,32.86,31.83,45370000.0,0.031200000000000002,AMD
2019-10-28,33.69,33.16,33.91,33.15,51220000.0,0.03,AMD
2019-10-29,33.03,33.73,33.9,32.7,78700000.0,-0.0196,AMD
2019-10-30,33.13,32.93,33.34,32.03,78230000.0,0.003,AMD
2019-10-31,33.93,32.98,34.34,32.82,67880000.0,0.0241,AMD
2019-11-01,34.89,34.37,35.0,34.1,64239999.99999999,0.028300000000000002,AMD
2019-11-04,36.29,35.19,36.45,34.76,83340000.0,0.0401,AMD
2019-11-05,36.15,36.56,37.18,35.98,84850000.0,-0.0039000000000000003,AMD
2019-11-06,35.93,36.06,36.48,35.52,51680000.0,-0.0060999999999999995,AMD
2019-11-07,36.28,36.52,36.99,36.03,54350000.0,0.0097,AMD
2019-11-08,36.29,36.06,36.58,36.0,39400000.0,0.0003,AMD
2019-11-11,36.31,35.96,36.66,35.58,43570000.0,0.0006,AMD
2019-11-12,36.71,36.43,37.13,36.4,58670000.0,0.011000000000000001,AMD
2019-11-13,37.52,36.65,37.96,36.58,69180000.0,0.022099999999999998,AMD
2019-11-14,38.35,37.51,38.5,37.36,65940000.0,0.022099999999999998,AMD
2019-11-15,38.56,38.94,39.37,38.34,63020000.0,0.0055000000000000005,AMD
2019-11-18,39.88,38.65,39.98,38.6,66330000.0,0.0342,AMD
2019-11-19,41.29,40.14,41.79,39.69,94600000.0,0.0354,AMD
2019-11-20,40.98,40.96,41.75,40.07,79970000.0,-0.0075,AMD
2019-11-21,39.52,40.42,40.71,38.64,88070000.0,-0.0356,AMD
2019-11-22,39.15,39.36,39.89,38.19,56930000.0,-0.009399999999999999,AMD
2019-11-25,39.79,39.5,40.17,39.49,45880000.0,0.0163,AMD
2019-11-26,38.99,39.3,39.48,38.81,43760000.0,-0.020099999999999996,AMD
2019-11-27,39.41,39.46,39.76,39.07,33730000.0,0.0108,AMD
2019-11-29,39.15,39.1,39.52,39.02,17610000.0,-0.0066,AMD
2019-12-02,38.73,39.32,39.41,38.44,37940000.0,-0.010700000000000001,AMD
2019-12-03,38.9,37.34,38.93,37.15,52990000.0,0.0044,AMD
2019-12-04,39.69,39.38,39.82,39.13,44370000.0,0.0203,AMD
2019-12-05,39.62,39.95,40.22,39.55,35710000.0,-0.0018,AMD
2019-12-06,39.63,40.1,40.19,39.56,31150000.0,0.0003,AMD
2019-12-09,38.93,39.46,39.84,38.91,28040000.0,-0.0177,AMD
2019-12-10,39.44,39.2,39.73,38.82,33860000.0,0.0131,AMD
2019-12-11,39.47,39.44,39.61,39.04,31800000.0,0.0008,AMD
2019-12-12,42.59,39.4,42.62,39.25,87400000.0,0.079,AMD
2019-12-13,41.15,42.35,42.95,41.06,79990000.0,-0.0338,AMD
2019-12-16,42.35,41.73,42.98,41.73,58890000.0,0.0292,AMD
2019-12-17,42.77,42.51,43.1,42.15,44940000.0,0.009899999999999999,AMD
2019-12-18,42.3,42.79,43.06,42.24,39180000.0,-0.011000000000000001,AMD
2019-12-19,42.83,42.63,43.34,42.6,45950000.0,0.0125,AMD
2019-12-20,44.15,43.44,44.26,43.26,68220000.0,0.0308,AMD
2019-12-23,45.46,44.58,45.62,44.39,56070000.0,0.0297,AMD
2019-12-24,46.54,46.1,46.61,45.77,44430000.0,0.023799999999999998,AMD
2019-12-26,46.63,46.99,47.31,45.66,57710000.0,0.0019,AMD
2019-12-27,46.18,46.85,46.88,45.98,36620000.0,-0.0097,AMD
2019-12-30,45.52,46.14,46.17,44.66,41240000.0,-0.0143,AMD
2019-12-31,45.86,45.07,46.09,44.92,31790000.0,0.0075,AMD
2020-01-02,49.1,46.86,49.25,46.63,80770000.0,0.0706,AMD
2020-01-03,48.6,48.03,49.39,47.54,73360000.0,-0.0102,AMD
2020-01-06,48.39,48.02,48.86,47.86,48180000.0,-0.0043,AMD
2020-01-07,48.25,49.35,49.39,48.04,59940000.0,-0.0029,AMD
2020-01-08,47.83,47.85,48.3,47.14,53870000.0,-0.0087,AMD
2020-01-09,48.97,48.94,49.96,48.39,76650000.0,0.023799999999999998,AMD
2020-01-10,48.16,49.26,49.29,48.0,44220000.0,-0.0165,AMD
2020-01-13,48.74,48.66,48.86,48.24,34480000.0,0.012,AMD
2020-01-14,48.21,48.64,49.03,47.91,38690000.0,-0.0109,AMD
2020-01-15,48.55,48.23,49.08,48.12,40200000.0,0.0070999999999999995,AMD
2020-01-16,49.77,49.17,50.31,48.99,58900000.0,0.025099999999999997,AMD
2020-01-17,50.93,50.2,51.05,49.9,57720000.0,0.0233,AMD
2020-01-21,51.05,50.96,51.81,50.7,49100000.0,0.0024,AMD
2020-01-22,51.43,51.63,51.88,51.2,40770000.0,0.0074,AMD
2020-01-23,51.71,51.34,51.74,50.74,40140000.0,0.0054,AMD
2020-01-24,50.35,52.28,52.81,49.47,80010000.0,-0.0263,AMD
2020-01-27,49.26,48.45,49.79,47.9,48880000.0,-0.0216,AMD
2020-01-28,50.53,50.03,50.85,49.48,62340000.0,0.0258,AMD
2020-01-29,47.51,47.84,48.07,46.1,112560000.0,-0.059800000000000006,AMD
2020-01-30,48.78,46.49,48.81,46.13,70460000.0,0.026699999999999998,AMD
2020-01-31,47.0,48.4,48.58,46.79,60320000.0,-0.0365,AMD
2020-02-03,48.02,46.4,48.1,46.23,47080000.0,0.0217,AMD
2020-02-04,49.45,49.21,49.75,48.61,46300000.0,0.0298,AMD
2020-02-05,49.84,50.29,50.42,49.31,42740000.0,0.0079,AMD
2020-02-06,49.32,48.8,49.39,47.63,48670000.0,-0.0104,AMD
2020-02-07,49.73,48.91,50.66,48.63,53110000.0,0.0083,AMD
2020-02-10,52.26,49.47,52.3,49.35,60970000.0,0.0509,AMD
2020-02-11,53.8,53.22,54.48,52.91,74720000.0,0.029500000000000002,AMD
2020-02-12,53.89,54.53,54.85,53.53,46000000.0,0.0017000000000000001,AMD
2020-02-13,54.53,53.43,55.03,53.34,51640000.0,0.011899999999999999,AMD
2020-02-14,55.31,55.19,55.4,54.56,52370000.0,0.0143,AMD
2020-02-18,56.89,54.94,58.13,54.84,70350000.0,0.0286,AMD
2020-02-19,58.9,57.99,59.27,57.51,58600000.0,0.0353,AMD
2020-02-20,57.27,58.44,59.02,56.15,74200000.0,-0.0277,AMD
2020-02-21,53.28,56.71,56.8,52.89,88550000.0,-0.0697,AMD
2020-02-24,49.12,48.17,50.27,47.49,86620000.0,-0.0781,AMD
2020-02-25,47.57,51.14,51.24,47.12,88700000.0,-0.0316,AMD
2020-02-26,47.49,47.7,49.29,47.07,86900000.0,-0.0017000000000000001,AMD
2020-02-27,44.01,45.38,46.24,42.21,106420000.0,-0.0733,AMD
2020-02-28,45.48,41.35,46.15,41.04,100670000.0,0.0334,AMD
2020-03-02,47.46,47.42,47.68,44.66,102330000.0,0.0435,AMD
2020-03-03,46.75,49.03,50.2,45.67,141970000.0,-0.015,AMD
2020-03-04,50.11,48.25,50.14,47.21,93310000.0,0.0719,AMD
2020-03-05,48.11,48.68,49.72,47.51,98300000.0,-0.039900000000000005,AMD
2020-03-06,48.59,49.44,49.54,46.74,124590000.0,0.01,AMD
2020-03-09,43.27,43.03,46.34,42.51,80860000.0,-0.10949999999999999,AMD
2020-03-10,45.38,45.41,45.44,43.1,76230000.0,0.048799999999999996,AMD
2020-03-11,45.7,44.19,45.97,43.8,102320000.0,0.0070999999999999995,AMD
2020-03-12,39.01,42.0,42.5,39.0,107460000.0,-0.1464,AMD
2020-03-13,43.9,42.2,43.91,39.6,86690000.0,0.12539999999999998,AMD
2020-03-16,38.71,39.08,43.37,38.51,84550000.0,-0.1182,AMD
2020-03-17,41.88,40.19,42.88,38.3,92740000.0,0.0819,AMD
2020-03-18,39.12,39.54,41.93,36.76,106950000.0,-0.0659,AMD
2020-03-19,39.82,39.47,41.69,37.74,88940000.0,0.0179,AMD
2020-03-20,39.61,41.51,42.48,39.58,106860000.0,-0.0053,AMD
2020-03-23,41.64,40.62,42.32,38.95,101710000.0,0.0512,AMD
2020-03-24,46.22,44.02,46.8,44.02,106790000.0,0.11,AMD
2020-03-25,44.63,46.77,47.83,44.48,93760000.0,-0.0344,AMD
2020-03-26,47.5,45.82,47.5,45.41,73920000.0,0.0643,AMD
2020-03-27,46.58,46.18,47.97,45.92,74600000.0,-0.0194,AMD
2020-03-30,47.86,47.24,48.46,46.66,68490000.0,0.0275,AMD
2020-03-31,45.48,47.92,48.53,45.16,83480000.0,-0.049699999999999994,AMD
2020-04-01,43.66,44.18,46.85,43.16,92080000.0,-0.04,AMD
2020-04-02,44.49,43.4,45.28,43.1,79020000.0,0.019,AMD
2020-04-03,42.59,44.3,44.84,41.7,79340000.0,-0.042699999999999995,AMD
2020-04-06,47.52,44.3,47.58,44.06,82290000.0,0.1158,AMD
2020-04-07,47.56,48.96,49.65,46.67,102100000.0,0.0008,AMD
2020-04-08,48.79,48.07,49.0,47.61,64930000.00000001,0.0259,AMD
2020-04-09,48.38,49.65,50.25,47.72,80360000.0,-0.0084,AMD
2020-04-13,50.94,48.47,51.07,48.23,64290000.00000001,0.0529,AMD
2020-04-14,54.93,52.24,55.14,52.11,85310000.0,0.0783,AMD
2020-04-15,54.99,53.73,55.57,53.41,83810000.0,0.0011,AMD
2020-04-16,56.95,55.96,58.08,55.63,103110000.0,0.0356,AMD
2020-04-17,56.6,57.35,57.76,55.55,76910000.0,-0.0060999999999999995,AMD
2020-04-20,56.97,55.98,58.63,55.85,72370000.0,0.006500000000000001,AMD
2020-04-21,52.92,56.9,57.73,51.41,123910000.0,-0.0711,AMD
2020-04-22,55.92,54.91,56.15,54.34,63160000.0,0.0567,AMD
2020-04-23,55.9,56.65,57.28,55.64,69660000.0,-0.0004,AMD
2020-04-24,56.18,55.1,56.78,54.42,72860000.0,0.005,AMD
2020-04-27,56.49,57.44,58.0,56.25,62570000.0,0.0055000000000000005,AMD
